Loaded 1000 packets across 41 connections
294196: 294044 47.255.32.46 52413 37.47.46.44 30053 559
294771: 294771 207.255.192.78 20637 133.207.78.12 57413 719
295516: 295516 225.241.224.96 24435 161.229.96.32 60491 737
296253: 296183 147.243.144.18 7977 129.151.18.16 47153 659
296917: 296917 214.246.208.86 22114 132.215.86.20 58610 726
297651: 297651 214.246.208.86 22114 132.215.86.20 58610 726
298385: 298385 214.246.208.86 22114 132.215.86.20 58610 726
299119: 299119 214.246.208.86 22114 132.215.86.20 58610 726
299853: 299853 214.246.208.86 22114 132.215.86.20 58610 726
300587: 300587 214.246.208.86 22114 132.215.86.20 58610 726
301444: 301444 81.241.80.80 48067 1.85.80.16 14107 849
302431: 302431 211.243.208.82 9961 129.215.82.16 36337 979 2.00
303418: 303418 211.243.208.82 9961 129.215.82.16 36337 979 2.00
304454: 304454 4.244.0.4 20300 4.5.4.4 44716 1028
305482: 305311 81.241.80.80 48067 1.85.80.16 14107 849
306331: 306056 225.241.224.96 24435 161.229.96.32 60491 737
307092: 307092 4.244.0.4 20300 4.5.4.4 44716 1028
308120: 307819 207.255.192.78 20637 133.207.78.12 57413 719
308839: 308546 207.255.192.78 20637 133.207.78.12 57413 719
309558: 309273 207.255.192.78 20637 133.207.78.12 57413 719
310277: 309840 47.255.32.46 52413 37.47.46.44 30053 559
310836: 310574 214.246.208.86 22114 132.215.86.20 58610 726
311562: 311301 207.255.192.78 20637 133.207.78.12 57413 719
312281: 312077 70.246.64.70 14770 4.71.70.4 11970 70
312351: 312155 70.246.64.70 14770 4.71.70.4 11970 70
312421: 312232 69.245.64.68 14559 5.69.68.4 11799 69
DEBUG at time 312490 (Global VT: 52837.666667):
  Conn 1 (port 36503): VFT=53313.416667, weight=1.00, length=173, arrival=311999, VST=52837.666667, Total Weight=2.75
  Conn 2 (port 14559): VFT=53090.666667, weight=0.75, length=69, arrival=312309, VST=52837.666667, Total Weight=2.75
  Conn 10 (port 41863): VFT=54237.416667, weight=1.00, length=509, arrival=311818, VST=52837.666667, Total Weight=2.75
  SELECTED: Conn 2 (port 14559), VFT=53090.666667
